filename,date,title,president,url,source
doc_000.txt,18-Aug-80,Address to the Veterans of Foreign Wars Convention in Chicago,Ronald Reagan,https://www.presidency.ucsb.edu/documents/address-the-veterans-foreign-wars-convention-chicago,UCSB Presidency Project
doc_001.txt,20-Jan-81,Ronald Reagan Event Timeline,Ronald Reagan,https://www.presidency.ucsb.edu/documents/ronald-reagan-event-timeline,UCSB Presidency Project
doc_002.txt,3-Mar-81,Excerpts From an Interview With Walter Cronkite of CBS News,Ronald Reagan,https://www.presidency.ucsb.edu/documents/excerpts-from-interview-with-walter-cronkite-cbs-news,UCSB Presidency Project
doc_003.txt,6-Nov-81,Nomination of James Daniel Theberge To Be United States Ambassador to Chile,Ronald Reagan,https://www.presidency.ucsb.edu/documents/nomination-james-daniel-theberge-be-united-states-ambassador-chile,UCSB Presidency Project
doc_004.txt,17-Nov-81,Toasts of the President and President Luis Herrera Campins of Venezuela at the State Dinner,Ronald Reagan,https://www.presidency.ucsb.edu/documents/toasts-the-president-and-president-luis-herrera-campins-venezuela-the-state-dinner,UCSB Presidency Project
doc_005.txt,16-Dec-81,Appointment of Three Members of the Board of Foreign Scholarships,Ronald Reagan,https://www.presidency.ucsb.edu/documents/appointment-three-members-the-board-foreign-scholarships-1,UCSB Presidency Project
doc_006.txt,13-Jan-82,Nomination of Anthony Cecil Eden Quainton To Be United States Ambassador to Nicaragua,Ronald Reagan,https://www.presidency.ucsb.edu/documents/nomination-anthony-cecil-eden-quainton-be-united-states-ambassador-nicaragua,UCSB Presidency Project
doc_007.txt,18-Feb-82,The President's News Conference,Ronald Reagan,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-1002,UCSB Presidency Project
doc_008.txt,19-Feb-82,Remarks and a Question-and-Answer Session on the Program for Economic Recovery With Newspaper Editors and Radio and Television Directors,Ronald Reagan,https://www.presidency.ucsb.edu/documents/remarks-and-question-and-answer-session-the-program-for-economic-recovery-with-newspaper,UCSB Presidency Project
doc_009.txt,24-Feb-82,Remarks on the Caribbean Basin Initiative to the Permanent Council of the Organization of American States,Ronald Reagan,https://www.presidency.ucsb.edu/documents/remarks-the-caribbean-basin-initiative-the-permanent-council-the-organization-american,UCSB Presidency Project
doc_010.txt,16-Mar-82,Interview in Oklahoma City With Reporters From the Daily Oklahoman,Ronald Reagan,https://www.presidency.ucsb.edu/documents/interview-oklahoma-city-with-reporters-from-the-daily-oklahoman,UCSB Presidency Project
doc_011.txt,23-Mar-82,Interview in New York City With Members of the Editorial Board of the New York Post,Ronald Reagan,https://www.presidency.ucsb.edu/documents/interview-new-york-city-with-members-the-editorial-board-the-new-york-post,UCSB Presidency Project
doc_012.txt,31-Mar-82,The President's News Conference,Ronald Reagan,https://www.presidency.ucsb.edu/documents/the-presidents-news-conference-1001,UCSB Presidency Project
doc_013.txt,8-Apr-82,"Remarks in Bridgetown, Barbados, Following a Luncheon Meeting With Leaders of Eastern Caribbean Countries",Ronald Reagan,https://www.presidency.ucsb.edu/documents/remarks-bridgetown-barbados-following-luncheon-meeting-with-leaders-eastern-caribbean,UCSB Presidency Project
doc_014.txt,5-May-82,"Proclamation 4941—Modification of Quotas on Certain Sugars, Sirups and Molasses",Ronald Reagan,https://www.presidency.ucsb.edu/documents/proclamation-4941-modification-quotas-certain-sugars-sirups-and-molasses,UCSB Presidency Project
doc_015.txt,22-Jun-82,Remarks of President Reagan and President Luis Alberto Monge Alvarez of Costa Rica Following Their Meetings,Ronald Reagan,https://www.presidency.ucsb.edu/documents/remarks-president-reagan-and-president-luis-alberto-monge-alvarez-costa-rica-following,UCSB Presidency Project
doc_016.txt,15-Sep-82,Remarks at a Reception Marking the First Edition of USA Today,Ronald Reagan,https://www.presidency.ucsb.edu/documents/remarks-reception-marking-the-first-edition-usa-today,UCSB Presidency Project
doc_017.txt,5-Nov-82,Letter to Venezuelans on World Peace and the Situation in Central America and the Caribbean,Ronald Reagan,https://www.presidency.ucsb.edu/documents/letter-venezuelans-world-peace-and-the-situation-central-america-and-the-caribbean,UCSB Presidency Project
doc_018.txt,30-Nov-82,Responses to Questions Submitted by Latin American Newspapers,Ronald Reagan,https://www.presidency.ucsb.edu/documents/responses-questions-submitted-latin-american-newspapers,UCSB Presidency Project
doc_019.txt,4-Dec-82,Question-and-Answer Session With Reporters on the President's Trip to Latin America,Ronald Reagan,https://www.presidency.ucsb.edu/documents/question-and-answer-session-with-reporters-the-presidents-trip-latin-america,UCSB Presidency Project
doc_020.txt,21-Jan-83,Question-and-Answer Session With High School Students on Domestic and Foreign Policy Issues,Ronald Reagan,https://www.presidency.ucsb.edu/documents/question-and-answer-session-with-high-school-students-domestic-and-foreign-policy-issues,UCSB Presidency Project
